0120,20110118,534141.10,41716.00,,,,28617.00,2308.80,824,37.53
0121,20110118,657882.80,136452.20,,,,37341.30,7618.50,1170,38.43
0122,20110118,448492.10,88690.40,,,,26748.70,5535.50,959,33.66
0123,20110118,338599.30,29452.00,,,,17511.20,1319.60,531,35.46
0124,20110118,1201619.40,121310.90,,,,68613.30,7211.60,1883,40.27
0125,20110118,189881.00,8414.90,,,,9821.90,620.90,302,34.58
0126,20110118,367480.30,10273.90,,,,19497.90,619.60,543,37.05
0127,20110118,335246.60,28878.80,,,,18826.30,1345.60,600,33.62
0128,20110118,591414.70,38575.60,,,,32843.70,1995.90,988,35.26
0129,20110118,239831.10,25582.30,,,,12972.40,1349.70,401,35.72
0130,20110118,223567.90,22202.30,,,,9006.10,738.30,290,33.60
0131,20110118,458196.70,2556.90,,,,24497.00,55.00,652,37.66
0132,20110118,326729.30,65566.10,,,,17313.80,3470.60,572,36.34
0133,20110118,149796.80,43843.80,,,,11920.00,2910.50,400,37.08
0134,20110118,219508.80,18170.50,,,,11628.70,1302.60,512,25.26
0135,20110118,783337.70,154860.00,,,,41381.10,7973.30,1284,38.44
0136,20110118,1939157.20,468068.20,,,,108277.50,24936.80,2773,48.04
0137,20110118,332188.90,328.90,,,,19862.60,29.90,591,33.66
0138,20110118,257840.10,97069.80,,,,14594.10,4991.10,598,32.75
0139,20110118,287855.50,13685.10,,,,16957.10,676.20,464,38.00
0140,20110118,197650.10,64.30,,,,10393.70,0.00,295,35.23
0141,20110118,1350756.30,191835.30,,,,73369.70,11374.30,1562,54.25
0206,20110118,117166.80,22735.90,,,,14705.20,3709.00,137,134.41
0208,20110118,74457.40,26314.70,,,,9839.40,6596.00,142,115.74
0209,20110118,30369.40,11585.00,,,,5929.30,1333.00,52,139.66
0210,20110118,173270.50,65414.00,,,,14527.40,9549.40,188,128.07
