0003,20110110,409496.00,16893.90,,,,41877.40,1649.20,1033,42.14
0005,20110110,680310.90,0.00,,,,61100.60,0.00,1934,31.59
0009,20110110,555525.86,1664.80,,,,46681.40,294.00,1119,41.98
0010,20110110,510449.70,176857.30,,,,51143.60,19508.30,2015,35.06
0012,20110110,330395.50,25342.30,,,,30674.60,2825.40,981,34.15
0014,20110110,271873.80,29.90,,,,22273.80,0.00,682,32.66
0015,20110110,391069.06,29.90,,,,38373.50,29.90,795,48.31
0017,20110110,386282.20,101916.50,,,,32607.60,10660.80,1085,39.88
0018,20110110,866435.60,305245.90,,,,86643.30,32290.90,3029,39.27
0021,20110110,475562.10,89.70,,,,45710.10,29.90,1154,39.64
0022,20110110,591074.50,64214.70,,,,48485.50,6546.50,1252,43.96
0024,20110110,1097528.20,379703.60,,,,92941.20,37209.30,2991,43.51
0026,20110110,245493.00,119.60,,,,22089.10,0.00,570,38.75
0029,20110110,363043.30,179.40,,,,32770.20,29.90,938,34.97
0030,20110110,437858.66,35796.30,,,,35755.50,3571.30,1007,39.05
0031,20110110,147846.10,0.00,,,,12827.90,0.00,389,32.98
0032,20110110,334198.00,36528.20,,,,34154.50,3570.20,968,38.97
0034,20110110,483716.36,25175.70,,,,38920.00,3031.30,995,42.16
0036,20110110,210473.60,7152.60,,,,18575.10,759.30,537,36.00
0037,20110110,865204.10,294615.80,,,,86832.40,34446.50,2767,43.83
0038,20110110,226957.76,0.00,,,,16828.00,0.00,394,42.71
0039,20110110,468993.90,13003.70,,,,44090.40,1723.60,1154,39.70
0040,20110110,703447.00,922.00,,,,71048.00,15.00,1719,41.34
0041,20110110,317310.20,29821.70,,,,27803.80,3217.50,770,40.29
0043,20110110,295396.00,7354.70,,,,24390.10,832.10,758,33.27
0044,20110110,588900.90,42801.90,,,,58319.50,4055.20,1363,45.76
0045,20110110,403311.10,46950.10,,,,36721.20,6050.70,1330,32.16
0047,20110110,186683.50,29.90,,,,15251.90,0.00,412,37.02
0048,20110110,675847.70,59.80,,,,58322.40,29.90,1566,37.26
0049,20110110,432969.50,59.80,,,,36856.00,29.90,884,41.73
0051,20110110,815124.30,59.80,,,,81343.20,59.80,1947,41.81
0053,20110110,230232.10,4020.40,,,,20903.60,406.50,651,32.73
0054,20110110,454813.50,19242.70,,,,37353.20,2215.90,926,42.73
0058,20110110,258531.80,7224.20,,,,17385.80,830.80,484,37.64
0059,20110110,240435.50,12258.70,,,,18271.50,1397.20,557,35.31
0060,20110110,213164.90,0.00,,,,19944.90,0.00,515,38.73
0061,20110110,203300.80,0.00,,,,18673.00,0.00,487,38.34
0064,20110110,475932.00,107160.20,,,,47465.90,10845.70,1348,43.26
0065,20110110,613753.70,147316.10,,,,59009.80,14818.60,1640,45.02
0066,20110110,1229654.60,183148.60,,,,107784.40,18271.20,2885,43.69
0068,20110110,342989.30,55224.40,,,,29697.00,5479.70,750,46.90
0070,20110110,301656.00,32740.60,,,,25080.10,3711.60,788,36.54
0071,20110110,564652.30,399862.00,,,,50548.20,42394.30,2085,44.58
0073,20110110,301833.90,0.00,,,,28120.00,0.00,851,33.04
0074,20110110,389391.00,92851.70,,,,40281.60,9263.60,1006,49.25
0075,20110110,524043.10,231667.30,,,,45591.60,22893.30,1729,39.61
0076,20110110,272332.60,32528.40,,,,22850.00,3704.90,787,33.74
0077,20110110,153438.00,0.00,,,,12438.60,0.00,487,25.54
0078,20110110,622389.90,85381.60,,,,53331.00,8128.70,1609,38.20
0079,20110110,450292.90,205972.00,,,,37208.30,21999.50,1335,44.35
0081,20110110,580119.70,296113.80,,,,48222.50,32868.40,1801,45.03
0085,20110110,319054.30,40254.00,,,,24704.10,4602.80,675,43.42
0086,20110110,336026.60,0.00,,,,27937.20,0.00,789,35.41
0087,20110110,356231.20,59.80,,,,32674.10,29.90,982,33.30
0088,20110110,445369.60,86315.70,,,,41362.40,9816.20,1436,35.64
0090,20110110,211268.70,0.00,,,,22794.40,0.00,706,32.29
0091,20110110,176677.80,0.00,,,,14056.30,0.00,420,33.47
0092,20110110,521861.50,125633.60,,,,47917.00,15556.00,1435,44.23
0093,20110110,349835.00,14727.70,,,,34575.10,2376.10,1082,34.15
